Unique_ID,Worksheet,Notes,Reference_code,Reference,
758,Density,Damuth Ref: 720,Zegers 1979,"Zegers, D. A. & Williams, O., 1979. Energy flow through a population of Richardson’s ground squirrels. Acta Theriologica, 24: 221-235.",
759,Density,Damuth Ref: 721,Zelenka 1965,"Zelenka, G., 1965. Observations sur l’écologie de la marmotte des alpes. La Terre et La Vie, 20: 238-256.",
760,Density,Damuth Ref: 722,Zelinka 1973,"Zelinka, M., 1973. Die Eintagsfliegen (Ephemeroptera) in Forellenbachen der Beskiden. 11.-Produktion. Hydrobiologia, 42: 13-19.",
761,Density,Damuth Ref: 723,Zervanos 1973,"Zervanos, S. M. & Hadley, N. F., 1973. Adaptional biology and energy relationships of the collared peccary (Tayassu tajacu). Ecology, 54: 759-774.",
762,Density,Damuth Ref: 724,Zirul 1970,"Zirul, D. L. & Fuller, W. A,, 1970. Winter fluctuations in size of home range of the red squirrel (Tamiasciurus hudsonicus). Transactions of the North American Wild& Conference, 35: 115-127.",
763,Density,Fish,Alexander and Merrill 1976,"Alexander, D. R., and S. P. Merrill. 1976. The unexploited brook trout population of Big Indian Lake, Nova Scotia - vital statistics and potential fisheries. Technical Report. Halifax, N.S.: Environment Canada Fisheries and Marine Service Freshwater and Anadromous Division Resource Branch Maritimes Region.",
764,Density,Fish,Alexander et al. 1986,"Alexander, D. R., J. J. Kerekes, and B. C. Sabean. 1986. Description of Selected Lake Characteristics and Occurrence of Fish Species in 781 Nova Scotia Lakes. Proceedings Nova Scotian Institute of Science 36: 63-106.",
765,Density,Fish,Arvola 1983,"Arvola, L. 1983. Primary production and phytoplankton in two small, polyhumic forest lakes in southern Finland. Hydrobiologia 101, no. 1-2 (April): 105-110. doi:10.1007/BF00008661.",
766,Density,Fish,Balon 1972,"Balon, E. K. 1972. Possible fish stock size assessment and available production survey as developed on Lake Kariba. African Journal of Tropical Hydrobiology and Fisheries 1: 45-73.",
767,Density,Fish,Balon 1974,"Balon, E. K. 1974. Fish production of a tropical ecosystem. In Lake Kariba: a Manmade Tropical Ecosystem in Central Africa, ed. E. K. Balon and A. G. Coche, 249-676. The Hague, Netherlands: W. Junk Publishers.",
768,Density,Fish,Bohlin 1994,"Bohlin, T., C. Dellefors, U. Faremo, and A. Johlander. 1994. The energetic equivalence hypothesis and the relation between population density and body size in stream-living salmonids. The American Naturalist 143:478–493.",
769,Density,Fish,Chadwick 1976,"Chadwick, E. M. P. 1976. Ecological fish production in a small Precambrain shield lake. Environmental Biology of Fishes 1, no. 1: 13-60.",
770,Density,Fish,Ciepielwski 1981,"Ciepielewski, W. 1981. Population of pike (Esox lucius L.) in pond type Lake Warniak in 1969-1978. Polish Journal of Ecology 29, no. 1: 35-51.",
771,Density,Fish,Coche 1974,"Coche, A. G. 1974. Limnological study of a tropical reservoir. In Lake Kariba: a Manmade Tropical Ecosystem in Central Africa, ed. E. K. Balon and A. G. Coche, 1-247. The Hague, Netherlands: W. Junk Publishers.",
772,Density,Fish,Craig 1980,"Craig, J. F. 1980. Growth and Production of the 1955 to 1972 Cohorts of Perch, Perca fluviatilis L., in Windermere. Journal of Animal Ecology 49, no. 1 (February 1): 291-315. doi:10.2307/4290.",
773,Density,Fish,Downing and Plante 1993,"Downing, J. A., and C. Plante. 1993. Production of Fish Populations in Lakes. Canadian Journal of Fisheries and Aquatic Sciences 50, no. 1 (January): 110-120. doi:10.1139/f93-013.",
774,Density,Fish,Downing et al. 1990,"Downing, J. A., C. Plante, and S. Lalonde. 1990. Fish Production Correlated with Primary Productivity, not the Morphoedaphic Index. Canadian Journal of Fisheries and Aquatic Sciences 47, no. 10 (October): 1929-1936. doi:10.1139/f90-217.",
775,Density,Fish,Downing et al. 1990,"Downing, J. A., C. Plante, and S. Lalonde. 1990. Fish Production Correlated with Primary Productivity, not the Morphoedaphic Index. Canadian Journal of Fisheries and Aquatic Sciences 47, no. 10 (October): 1929-1936. doi:10.1139/f90-217.",
776,Density,Fish,Dunn et al. 1969,"Dunn, I. G., G. G. Ganf, L. M. McGowan, and A. B. Viner. 1969. Lake George, Uganda: a limnological survey. Verhandlungen Internationale Vereinigung Limnologie 17: 284-288.",
777,Density,Fish,Edmondson and Lehman 1981,"Edmondson, W. T., and John T. Lehman. 1981. The Effect of Changes in the Nutrient Income on the Condition of Lake Washington. Limnology and Oceanography 26, no. 1 (January 1): 1-29.",
778,Density,Fish,Edmonson 1977,"Edmondson, W. T. 1977. Recovery of Lake Washington from Eutrophication. In Recovery and restoration of damaged ecosystems, ed. J. Cairns Jr., K. L. Dickson, and E. E. Herricks, 102-109. Virginia: University Press Virginia.",
779,Density,Fish,Efford 1972,"Efford, I. E. 1972. An interim review of the Marion Lake project. In Productivity problems in freshwaters, ed. Z. Kajak and A. Hillbricht-Ilkowska, 89-109. Warszawa-Krakow, Poland: PWN Polish Scientific Publishers.",
780,Density,Fish,Eggers et al. 1978,"Eggers, D. M., N. W. Bartoo, N. A. Rickard, R. E. Nelson, R. C. Wissmar, R. L. Burgner, and A. H. Devol. 1978. The Lake Washington Ecosystem: The Perspective from the Fish Community Production and Forage Base. Journal of the Fisheries Research Board of Canada 35, no. 12 (December): 1553-1571. doi:10.1139/f78-246.",
781,Density,Fish,Eloranta and Palomaeki 1986,"Eloranta, P., and A. Palomaeki. 1986. Phytoplankton in lake Konnevesi with special reference to eutrophication of the lake by fish farming. Aqua Fennica 16, no. 1: 37-45.",
782,Density,Fish,Fraser 1981,"Fraser, J. M. 1981. Estimates of the Standing Stocks of Fishes in Four Small Precambrian Shield Lakes. Canadian Field Naturalist 95, no. 2: 137–143.",
783,Density,Fish,Ganf 1974,"Ganf, G. G. 1974. Rates of oxygen uptake by the planktonic community of a shallow equatorial lake (Lake George, Uganda). Oecologia 15, no. 1: 17-32. doi:10.1007/BF00345226.",
784,Density,Fish,Gerking 1962,"Gerking, S. D. 1962. Production and Food Utilization in a Population of Bluegill Sunfish. Ecological Monographs 32, no. 1 (January 1): 31-78. doi:10.2307/1942360.",
785,Density,Fish,Gerking 1964,"Gerking, S. D. 1964. Timing and magnitude of the production of a bluegill sunfish population and its food supply. Verhandlungen Internationale Vereinigung Limnologie 15: 496-503.",
786,Density,Fish,Goldspink 1978,"Goldspink, C. R. 1978. The population density, growth rate and production of bream, Abramis brama, in Tjeukemeer. Journal of Fish Biology 13: 499-517.",
787,Density,Fish,Goldspink 1979,"Goldspink, C. R. 1979. The population density, growth rate and production of roach Rutilus mtilus (L.) in Tjeukemeer, The Netherlands. Journal of Fish Biology 15, no. 4 (October 1): 473-498. doi:10.1111/j.1095-8649.1979.tb03632.x.",
788,Density,Fish,Gulin and Rudenko 1973,"Gulin, V. V., and G. P. Rudenko. 1973. Procedure for assessment of fish production in lakes. Journal of Ichthyology 13: 813-823.",
789,Density,Fish,Gwahaba 1973,"Gwahaba, J. J. 1973. Effects of fishing on the Tilapia nilotica (Linne‘ 1757) population in Lake George, Uganda over the past 20 years. African Journal of Ecology 11, no. 3_4 (December 1): 317-328. doi:10.1111/j.1365-2028.1973.tb00096.x.",
790,Density,Fish,Halyk and Balon 1983,"Halyk, L. C., and E. K. Balon. 1983. Structure and ecological production of the fish taxocene of a small floodplain system. Canadian Journal of Zoology 61, no. 11 (November): 2446-2464. doi:10.1139/z83-326.",
791,Density,Fish,Holcik 1970,"Holcik, J. 1970. Standing crop, abundance, production and some ecological aspects of fish populations in some inland water of Cuba. Vëstnik Ceskoslovenské Zoologické Spolecnosti 33: 184-201.",
792,Density,Fish,Jester 1971,"Jester, D. B. 1971. Effects of commercial fishing, species introductions, and drawdown control on fish populations in Elephant Butte Reservoir, New Mexico. Reservoir Fisheries and Limnology, American Fisheries Society 8: 265-285.",
793,Density,Fish,Jester 1972,"Jester, D. B. 1972. Life History, Ecology and Management of the River Carpsucker, Carpiodes Carpio (Rafinesque) with Reference to Elephant Butte Lake. Agric. Exp. Stn. Res. Rep. 243. Las Cruces, N.M.: New Mexico State University.",
794,Density,Fish,Jester 1976,"Jester, D. B. 1976. Production of rough or commercial fishes in Elephant Butte Lake, New Mexico. Transactions of the American Fisheries Society 2: 222-231.",
795,Density,Fish,Johansson 1983,"Johansson, J. A. 1983. Seasonal development of bacterioplankton in two forest lakes in central Sweden. Hydrobiologia 101, no. 1-2 (April): 71-87. doi:10.1007/BF00008659.",
796,Density,Fish,Kelso 1985,"Kelso, J. R. M. 1985. Standing Stock and Production of Fish in a Cascading Lake System on the Canadian Shield. Canadian Journal of Fisheries and Aquatic Sciences 42, no. 7 (July): 1315-1320. doi:10.1139/f85-164.",
797,Density,Fish,Kelso 1988,"Kelso, J. R. M. 1988. Fish Community Structure, Biomass, and Production in the Turkey Lakes Watershed, Ontario. Canadian Journal of Fisheries and Aquatic Sciences 45, no. S1 (December): s115-s120. doi:10.1139/f88-275.",
798,Density,Fish,Kelso and Johnson 1991,"Kelso, J. R. M., and M. G. Johnson. 1991. Factors Related to the Biomass and Production of Fish Communities in Small, Oligotrophic Lakes Vulnerable to Acidification. Canadian Journal of Fisheries and Aquatic Sciences 48, no. 12 (December): 2523-2532. doi:10.1139/f91-293.",
799,Density,Fish,Kelso and Ward 1972,"Kelso, J. R. M., and F. J. Ward. 1972. Vital Statistics, Biomass, and Seasonal Production of an Unexploited Walleye (Stizostedion vitreum vitreum) Population in West Blue Lake, Manitoba. Journal of the Fisheries Research Board of Canada 29, no. 7 (July): 1043-1052. doi:10.1139/f72-150.",
800,Density,Fish,Kelso and Ward 1977,"Kelso, J. R. M., and F. J. Ward. 1977. Unexploited Percid Populations of West Blue Lake, Manitoba, and their Interactions. Journal of the Fisheries Research Board of Canada 34, no. 10 (October): 1655-1669. doi:10.1139/f77-230.",
801,Density,Fish,Kloster 1978,"Kloster, Asbjørn Elias. 1978. Physical and chemical properties of the waters of Øvre Heimdalen. Ecography 1, no. 2_3 (April 1): 117-123. doi:10.1111/j.1600-0587.1978.tb00947.x.",
802,Density,Fish,Krogius et al. 1972,"Krogius, F. V., E. M. Krokhin, and V. V. Menshutkin. 1972. The modelling of the ecosystem Lake Dalnee on an electronic computer. In Productivity problems in freshwaters, ed. Z. Kajak and A. Hillbricht-Ilkowska, 149-164. Warszawa-Krakow, Poland: PWN Polish Scientific Publishers.",
803,Density,Fish,Lam et al. 1986,"Lam, D. C. L., A. G. Bobba, D. S. Jeffries, and J. R. M. Kelso. 1986. Relationships of spatial gradients of primary production, buffering capacity, and hydrology in Turkey Lakes Watershed. In Impact of acid rain and deposition on aquatic biological systems, ASTM STP 928, ed. Billy G. Isom, Sally D. Dennis, and John Morton Bates, 42-53. Philadelphia: American Society for Testing and Materials, August.",
804,Density,Fish,Lappalainen et al. 1988,"Lappalainen, Antti, Martti Rask, and Pekka J. Vuorinen. 1988. Acidification affects the perch, Perca fluviatilis, populations in small lakes, of southern Finland. Environmental Biology of Fishes 21, no. 3 (March): 231-239. doi:10.1007/BF00004866.",
805,Density,Fish,LeCren 1969,"LeCren, E. D. 1969. Estimates of fish populations and production in small streams in England. In Symposium on salmon and trout in streams, ed. T. G. Northcote, 269–280. Vancouver: MacMillan Lecture, University of British Columbia.",
806,Density,Fish,LeCren 1976,"LeCren, E. D. 1976. The Productivity of Freshwater Communities. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences 274, no. 934 (July 1): 359-374.",
807,Density,Fish,Lien 1978,"Lien, L. 1978. The Energy Budget of the Brown Trout Population of Øvre Heimdalsvatn. Holarctic Ecology 1, no. 2/3 (January 1): 279-300.",
808,Density,Fish,Lien 1981,"Lien, L. 1981. Biology of the minnow Phoxinus phoxinus and its interactions with brown trout Salmo trutta in Øvre Heimdalsvatn, Norway. Ecography 4, no. 3 (September 1): 191-200. doi:10.1111/j.1600-0587.1981.tb00997.x.",
809,Density,Fish,Lind et al. 1973,"Lind, E. A., M. Hytinkoski, M. Keranen, and O. Kukko. 1973. Spawning and population structure of the roach, Rutilus rutilus L., in Lake Kiutajarvi, NE-Finland. Ichthyol Fenn Borealis 1: 1-30.",
810,Density,Fish,Lind et al. 1974,"Lind, E. A., T. Ellonen, M. Keranen, and O. Kukko. 1974. Population structure and production of the perch, Perca fluviatilis L., in Lake Kiutajarvi, NE-Finland. Ichthyol Fenn Borealis 3: 116-159.",
811,Density,Fish,Lobon-Cervia and Penczak 1984,"Lobon_Cervia, J., and T. Penczak. 1984. Fish production in the Jarama River, Central Spain. Ecography 7, no. 2 (May 1): 128-137. doi:10.1111/j.1600-0587.1984.tb01113.x.",
812,Density,Fish,MacCallum and Regier 1984,"MacCallum, W. R., and H. A. Regier. 1984. The biology and bioenergetics of Arctic charr in Char Lake, NWT, Canada. In Biology of Arctic Charr. Proceedings of the International Symposium on Arctic Charr, ed. L. Johnson and B. L. Burns, 329–340. Winnipeg: University of Manitoba Press.",
813,Density,Fish,Mahon 1976,"Mahon, R. 1976. A second look at bluegill production in Wyland Lake, Indiana. Environmental Biology of Fishes 1, no. 1: 85-86. doi:10.1007/BF00761731.",
814,Density,Fish,Mahon and Balon 1977,"Mahon, Robin, and Eugene K. Balon. 1977. Fish production in Lake Kariba, reconsidered. Environmental Biology of Fishes 1, no. 2 (March): 215-218. doi:10.1007/BF00000414.",
815,Density,Fish,Mahon and Balon 1977b,"Mahon, R., and E. K. Balon. 1977. Ecological fish production in Long Pond, a lakeshore lagoon on Long Point, Lake Erie. Environmental Biology of Fishes 2, no. 3 (December): 261-284. doi:10.1007/BF00005994.",
816,Density,Fish,Mahon and Balon 1985,"Mahon, R., and E. K. Balon. 1985. Fish Production in Warmwater Streams in Poland and Ontario. Canadian Journal of Fisheries and Aquatic Sciences 42, no. 6 (June): 1211-1215. doi:10.1139/f85-148.",
817,Density,Fish,Mahon et al. 1979,"Mahon, Robin, Eugene K. Balon, and David L. G. Noakes. 1979. Distribution, community structure and production of fishes in the upper Speed River, Ontario: a preimpoundment study. Environmental Biology of Fishes 4, no. 3 (August): 219-244. doi:10.1007/BF00005480.",
818,Density,Fish,Mann 1971,"Mann, R. H. K. 1971. The Populations, Growth and Production of Fish in Four Small Streams in Southern England. Journal of Animal Ecology 40, no. 1 (February 1): 155-190. doi:10.2307/3336.",
819,Density,Fish,Mills 1985,"Mills, K. H. 1985. Responses of Lake Whitefish (Coregonus clupeaformis) to Fertilization of Lake 226, the Experimental Lakes Area. Canadian Journal of Fisheries and Aquatic Sciences 42, no. 1 (January): 129-138. doi:10.1139/f85-016.",
820,Density,Fish,Mills and Eloranta 1985,"Mills, C. A., and A. Eloranta. 1985. The biology of Phoxinus phoxinus (L.) and other littoral zone fishes in Lake Konnevesi, central Finland. Annales Zoologici Fennici 22, no. 1: 1-12.",
821,Density,Fish,Miura and Tanaka 1975,"Miura, T., and S. Tanaka. 1975. Secondary production. Fish. In Productivity of communities in Japanese Inland waters, ed. S. Mori and G. Yamamoto, 398-402. JIBP Synthesis 10. JINP-PF REs. Group Acid Lakes in Urabandai.",
822,Density,Fish,Morgan 1972,"Morgan, N. C. 1972. Productivity studies at Loch Leven (a shallow nutrient rich lowland lake). In Productivity problems in freshwaters, ed. Z. Kajak and A. Hillbricht-Ilkowska, 183-205. Warszawa-Krakow, Poland: PWN Polish Scientific Publishers.",
823,Density,Fish,Mortimer and Worthington 1942,"Mortimer, C. H., and E. B. Worthington. 1942. Morphometric Data for Windermere. Journal of Animal Ecology 11, no. 2 (November 1): 245-247. doi:10.2307/1359.",
824,Density,Fish,Nakanishi 1975,"Nakanishi, M. 1975. Primary production by phytoplankton. In Productivity of communities in Japanese Inland waters, ed. S. Mori and G. Yamamoto, 398-402. JIBP Synthesis 10. JINP-PF REs. Group Acid Lakes in Urabandai.",
825,Density,Fish,Nyberg 1979,"Nyberg, P. 1979. Production and food consumption of perch, Perca fluviatilis L., in two Swedish forest lakes. Rep. Inst. Freshwat. Res. Drottningholm 58: 140-157.",
826,Density,Fish,O'Connor and Power 1973,"O’Connor, J. F., and G. Power. 1973. Trout Production and Eels in Bill Lake, Saguenay County, Quebec. Journal of the Fisheries Research Board of Canada 30, no. 9 (September): 1398-1401. doi:10.1139/f73-228.",
827,Density,Fish,Penczak 1981,"Penczak, T. 1981. Ecological fish production in two small lowland rivers in Poland. Oecologia 48, no. 1 (February): 107-111. doi:10.1007/BF00346995.",
828,Density,Fish,Penczak et al. 1982,"Penczak, T., E. Suszycka, and M. Molinski. 1982. Production, consumption and energy transformation by fish populations in a small lowland river. Ekologia Polska 30: 112–137.",
